Product_ID,Product_Name,Category,Price_INR,Detailed_Description,Risk_Level,Return_Eligible,Return_Days,Return_Reason,Replacement_Eligible,Replacement_Days,Refund_Policy,Refund_Method,Refund_Condition,Warranty_Months,Return_Conditions,Special_Terms,Policy_Logic_Flow,Legal_Compliance
PROD-00001,Nova X10,Mobiles/Smartphones,30795,"Flagship smartphone featuring 6.7-inch AMOLED display, 108MP camera, 8GB RAM, 256GB storage, 5G connectivity, wireless charging, face unlock, fingerprint sensor",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00002,Aero S5,Mobiles/Smartphones,15860,"Mid-range 5G smartphone with 6.4-inch display, 64MP triple camera, 6GB RAM, 128GB storage, fast charging, Android 13, dual SIM support",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00003,Zenith One,Mobiles/Smartphones,69886,"Premium performance smartphone with flagship processor, 12GB RAM, 512GB storage, 120Hz OLED display, professional camera system, gaming optimization",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00004,Lumina Z,Mobiles/Smartphones,21265,"Budget-friendly camera phone with 50MP AI camera, 4GB RAM, 64GB storage, 6.2-inch HD+ display, 4000mAh battery, dual SIM, Android 12",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00005,Blaze Neo,Mobiles/Smartphones,52194,"High-battery backup smartphone featuring 6000mAh battery, fast charging, 6GB RAM, 128GB storage, 6.5-inch display, efficient processor",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00006,EchoPods 300,Wearables/Audio,15423,"True wireless earbuds with active noise cancellation, 30-hour battery life, IPX5 water resistance, touch controls, premium sound quality",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,6,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00007,VibeTrack Smartband,Wearables/Audio,12363,"Fitness and health tracking smartwatch with heart rate monitor, sleep tracking, GPS, 7-day battery, water resistance, smartphone notifications",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00008,Chrono Edge,Wearables/Audio,17023,"Stylish digital smartwatch with customizable watch faces, fitness tracking, call notifications, music control, 5-day battery life",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00009,SonicBeats Pro,Wearables/Audio,9322,"Wireless on-ear headphones with premium drivers, 40-hour battery, quick charge, foldable design, noise isolation, comfortable padding",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,12,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00010,FitPulse Band,Wearables/Audio,2685,"Budget fitness band with step counter, heart rate monitor, sleep tracking, 10-day battery, water resistance, smartphone app connectivity",STANDARD,TRUE,7,Change of mind or not as described,TRUE,14,Full refund to original payment method,Original payment method within 7-10 business days,Standard return conditions met,6,Original packaging; All accessories/components included; No physical damage; Unused condition; Original seals intact,Standard terms and conditions apply; Consumer Protection Act 2019 rights applicable,Return(7d) ? Replacement(14d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00011,SkyTab 11,Tablets & Laptops,1769,"Mid-range tablet with 11-inch display, stylus support, 6GB RAM, 128GB storage, front/rear cameras, Wi-Fi connectivity, productivity apps",HIGH_VALUE,TRUE,7,"Change of mind, not as described, or DOA",TRUE,15,Refund only if replacement unavailable or 3 attempts fail,Original payment method within 7-14 business days,Same model unavailable or multiple replacement failures,12,Original packaging; All accessories/components included; No physical damage; IMEI/Serial number verification; Factory reset performed; No liquid damage,Service center repair available after return window expires; Software issues not covered under replacement policy; Data backup responsibility lies with customer,Return(7d) ? Replacement(15d) ? Refund(as per policy),"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
