Product_ID,Product_Name,Product_Price_INR,Step_1_Issue_Identification,Step_2_Timeframe_Check,Step_3A_Return_Path,Step_3B_Warranty_Path,Step_4A_Condition_Check,Step_4B_Warranty_Claim,Step_5A_Return_Approved,Step_5B_Return_Rejected,Step_6_Replacement_Check,Step_7A_Replacement_Success,Step_7B_Refund_Process,Step_8_Final_Resolution,Escalation_Path,Legal_Framework
PROD-00001,Nova X10,30795,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM-HIGH VALUE: ₹20K-50K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Standard processing: ₹30,795)","YES → Send replacement, case closed","NO → Initiate refund of ₹30,795: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹30,795 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00002,Aero S5,15860,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹15,860)","YES → Send replacement, case closed","NO → Initiate refund of ₹15,860: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹15,860 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00003,Zenith One,69886,Customer reports issue with product,Is issue reported within 7 days of delivery? (HIGH VALUE: ₹50K+),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Priority processing for HIGH VALUE: ₹69,886)","YES → Send replacement, case closed","NO → Initiate refund of ₹69,886: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹69,886 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00004,Lumina Z,21265,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM-HIGH VALUE: ₹20K-50K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Standard processing: ₹21,265)","YES → Send replacement, case closed","NO → Initiate refund of ₹21,265: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹21,265 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00005,Blaze Neo,52194,Customer reports issue with product,Is issue reported within 7 days of delivery? (HIGH VALUE: ₹50K+),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Priority processing for HIGH VALUE: ₹52,194)","YES → Send replacement, case closed","NO → Initiate refund of ₹52,194: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹52,194 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00006,EchoPods 300,15423,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 6 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹15,423)","YES → Send replacement, case closed","NO → Initiate refund of ₹15,423: Full refund to original payment method...","Refund amount: ₹15,423 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00007,VibeTrack Smartband,12363,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹12,363)","YES → Send replacement, case closed","NO → Initiate refund of ₹12,363: Full refund to original payment method...","Refund amount: ₹12,363 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00008,Chrono Edge,17023,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹17,023)","YES → Send replacement, case closed","NO → Initiate refund of ₹17,023: Full refund to original payment method...","Refund amount: ₹17,023 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00009,SonicBeats Pro,9322,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹9,322)","YES → Send replacement, case closed","NO → Initiate refund of ₹9,322: Full refund to original payment method...","Refund amount: ₹9,322 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00010,FitPulse Band,2685,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 6 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹2,685)","YES → Send replacement, case closed","NO → Initiate refund of ₹2,685: Full refund to original payment method...","Refund amount: ₹2,685 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
